market,taxonomy,taxonomy_version,taxonomy_level,sector_code,sector_name_cn,sector_name_en,ticker,currency,provider,provider_symbol,source,instrument_type,sort_order,notes
US,GICS,2023,Level 1,10,能源,Energy,XLE,USD,sina_us,XLE,Sina Finance US ETF,Sector SPDR ETF proxy,1,Free-source ETF proxy for the GICS sector.
US,GICS,2023,Level 1,15,材料,Materials,XLB,USD,sina_us,XLB,Sina Finance US ETF,Sector SPDR ETF proxy,2,Free-source ETF proxy for the GICS sector.
US,GICS,2023,Level 1,20,工业,Industrials,XLI,USD,sina_us,XLI,Sina Finance US ETF,Sector SPDR ETF proxy,3,Free-source ETF proxy for the GICS sector.
US,GICS,2023,Level 1,25,可选消费,Consumer Discretionary,XLY,USD,sina_us,XLY,Sina Finance US ETF,Sector SPDR ETF proxy,4,Free-source ETF proxy for the GICS sector.
US,GICS,2023,Level 1,30,日常消费,Consumer Staples,XLP,USD,sina_us,XLP,Sina Finance US ETF,Sector SPDR ETF proxy,5,Free-source ETF proxy for the GICS sector.
US,GICS,2023,Level 1,35,医疗保健,Health Care,XLV,USD,sina_us,XLV,Sina Finance US ETF,Sector SPDR ETF proxy,6,Free-source ETF proxy for the GICS sector.
US,GICS,2023,Level 1,40,金融,Financials,XLF,USD,sina_us,XLF,Sina Finance US ETF,Sector SPDR ETF proxy,7,Free-source ETF proxy for the GICS sector.
US,GICS,2023,Level 1,45,信息技术,Information Technology,XLK,USD,sina_us,XLK,Sina Finance US ETF,Sector SPDR ETF proxy,8,Free-source ETF proxy for the GICS sector.
US,GICS,2023,Level 1,50,通信服务,Communication Services,XLC,USD,sina_us,XLC,Sina Finance US ETF,Sector SPDR ETF proxy,9,Free-source ETF proxy for the GICS sector.
US,GICS,2023,Level 1,55,公用事业,Utilities,XLU,USD,sina_us,XLU,Sina Finance US ETF,Sector SPDR ETF proxy,10,Free-source ETF proxy for the GICS sector.
US,GICS,2023,Level 1,60,房地产,Real Estate,XLRE,USD,sina_us,XLRE,Sina Finance US ETF,Sector SPDR ETF proxy,11,Free-source ETF proxy for the GICS sector.
China A,CSI 800,CSI 800,Level 1,000928,能源,Energy,000928,CNY,tencent_kline,sh000928,Tencent Finance Kline,Official price index,1,CSI 800 constituents; not all A shares.
China A,CSI 800,CSI 800,Level 1,000929,材料,Materials,000929,CNY,tencent_kline,sh000929,Tencent Finance Kline,Official price index,2,CSI 800 constituents; not all A shares.
China A,CSI 800,CSI 800,Level 1,000930,工业,Industrials,000930,CNY,tencent_kline,sh000930,Tencent Finance Kline,Official price index,3,CSI 800 constituents; not all A shares.
China A,CSI 800,CSI 800,Level 1,000931,可选消费,Consumer Discretionary,000931,CNY,tencent_kline,sh000931,Tencent Finance Kline,Official price index,4,CSI 800 constituents; not all A shares.
China A,CSI 800,CSI 800,Level 1,000932,日常消费,Consumer Staples,000932,CNY,tencent_kline,sh000932,Tencent Finance Kline,Official price index,5,CSI 800 constituents; not all A shares.
China A,CSI 800,CSI 800,Level 1,000933,医疗保健,Health Care,000933,CNY,tencent_kline,sh000933,Tencent Finance Kline,Official price index,6,CSI 800 constituents; not all A shares.
China A,CSI 800,CSI 800,Level 1,000974,金融,Financials,000974,CNY,tencent_kline,sh000974,Tencent Finance Kline,Official price index,7,CSI 800 constituents; not all A shares.
China A,CSI 800,CSI 800,Level 1,399965,房地产,Real Estate,399965,CNY,tencent_kline,sz399965,Tencent Finance Kline,Official price index,8,CSI 800 constituents; not all A shares.
China A,CSI 800,CSI 800,Level 1,000935,信息技术,Information Technology,000935,CNY,tencent_kline,sh000935,Tencent Finance Kline,Official price index,9,CSI 800 constituents; not all A shares.
China A,CSI 800,CSI 800,Level 1,000936,通信服务,Communication Services,000936,CNY,tencent_kline,sh000936,Tencent Finance Kline,Official price index,10,CSI 800 constituents; not all A shares.
China A,CSI 800,CSI 800,Level 1,000937,公用事业,Utilities,000937,CNY,tencent_kline,sh000937,Tencent Finance Kline,Official price index,11,CSI 800 constituents; not all A shares.
HK,HSICS,HSICS,Level 1,00,能源,Energy,HSCIEN,HKD,hsi_chart,00011.01,Hang Seng Indexes,Official price index,1,Official one-year daily chart feed.
HK,HSICS,HSICS,Level 1,05,材料,Materials,HSCIMT,HKD,hsi_chart,00011.02,Hang Seng Indexes,Official price index,2,Official one-year daily chart feed.
HK,HSICS,HSICS,Level 1,10,工业,Industrials,HSCIIN,HKD,hsi_chart,00011.03,Hang Seng Indexes,Official price index,3,Official one-year daily chart feed.
HK,HSICS,HSICS,Level 1,23,可选消费,Consumer Discretionary,HSCICD,HKD,hsi_chart,00011.12,Hang Seng Indexes,Official price index,4,Official one-year daily chart feed.
HK,HSICS,HSICS,Level 1,25,日常消费,Consumer Staples,HSCICS,HKD,hsi_chart,00011.13,Hang Seng Indexes,Official price index,5,Official one-year daily chart feed.
HK,HSICS,HSICS,Level 1,28,医疗保健,Healthcare,HSCIH,HKD,hsi_chart,00011.14,Hang Seng Indexes,Official price index,6,Official one-year daily chart feed.
HK,HSICS,HSICS,Level 1,35,电讯,Telecommunications,HSCITC,HKD,hsi_chart,00011.06,Hang Seng Indexes,Official price index,7,Official one-year daily chart feed.
HK,HSICS,HSICS,Level 1,40,公用事业,Utilities,HSCIUT,HKD,hsi_chart,00011.07,Hang Seng Indexes,Official price index,8,Official one-year daily chart feed.
HK,HSICS,HSICS,Level 1,50,金融,Financials,HSCIFN,HKD,hsi_chart,00011.08,Hang Seng Indexes,Official price index,9,Official one-year daily chart feed.
HK,HSICS,HSICS,Level 1,60,地产建筑,Properties & Construction,HSCIPC,HKD,hsi_chart,00011.09,Hang Seng Indexes,Official price index,10,Official one-year daily chart feed.
HK,HSICS,HSICS,Level 1,70,资讯科技,Information Technology,HSCIIT,HKD,hsi_chart,00011.10,Hang Seng Indexes,Official price index,11,Official one-year daily chart feed.
HK,HSICS,HSICS,Level 1,80,综合企业,Conglomerates,HSCICO,HKD,hsi_chart,00011.11,Hang Seng Indexes,Official price index,12,Official one-year daily chart feed.
