asset_class,group,series_code,name_cn,name_en,provider,provider_symbol,source,source_url,frequency,level_unit,change_unit,sort_order,notes,calculation_id,formula_version,input_series_codes
fixed_income,sovereign_curve,UST2Y,美国国债2年期收益率,US Treasury 2-Year CMT Yield,us_treasury,2-year,US Department of the Treasury,https://home.treasury.gov/resource-center/data-chart-center/interest-rates,daily,percent,bp,1,Constant maturity Treasury yield.,,,
fixed_income,sovereign_curve,UST10Y,美国国债10年期收益率,US Treasury 10-Year CMT Yield,us_treasury,10-year,US Department of the Treasury,https://home.treasury.gov/resource-center/data-chart-center/interest-rates,daily,percent,bp,2,Constant maturity Treasury yield.,,,
fixed_income,sovereign_curve,UST30Y,美国国债30年期收益率,US Treasury 30-Year CMT Yield,us_treasury,30-year,US Department of the Treasury,https://home.treasury.gov/resource-center/data-chart-center/interest-rates,daily,percent,bp,3,Constant maturity Treasury yield.,,,
fixed_income,sovereign_curve,UST10Y2Y,美国国债10年-2年期限利差,US Treasury 10Y-2Y Curve Spread,calculated,UST10Y-UST2Y,Calculated from US Treasury CMT yields,https://home.treasury.gov/resource-center/data-chart-center/interest-rates,daily,percentage_points,bp,4,Calculated only on dates shared by the 10-year and 2-year series.,curve_spread,curve-spread-v1,UST10Y|UST2Y
fixed_income,sovereign_curve,UST5Y,美国国债5年期收益率,US Treasury 5-Year CMT Yield,us_treasury,5-year,US Department of the Treasury,https://home.treasury.gov/resource-center/data-chart-center/interest-rates,daily,percent,bp,5,Constant maturity Treasury yield.,,,
fixed_income,sovereign_curve,UST_REAL5Y,美国5年期实际收益率,US Treasury 5-Year Real CMT Yield,us_treasury_real,5-year,US Department of the Treasury,https://home.treasury.gov/resource-center/data-chart-center/interest-rates,daily,percent,bp,6,Official Daily Treasury Par Real Yield Curve rate.,,,
fixed_income,sovereign_curve,UST_REAL10Y,美国10年期实际收益率,US Treasury 10-Year Real CMT Yield,us_treasury_real,10-year,US Department of the Treasury,https://home.treasury.gov/resource-center/data-chart-center/interest-rates,daily,percent,bp,7,Official Daily Treasury Par Real Yield Curve rate.,,,
fixed_income,inflation_expectations,US_BE5Y,美国5年期盈亏平衡通胀率,US 5-Year Breakeven Inflation,calculated,UST5Y-UST_REAL5Y,Calculated from US Treasury nominal and real yields,https://home.treasury.gov/resource-center/data-chart-center/interest-rates,daily,percent,bp,8,Nominal 5Y yield minus real 5Y yield on shared dates.,breakeven,breakeven-v1,UST5Y|UST_REAL5Y
fixed_income,inflation_expectations,US_BE10Y,美国10年期盈亏平衡通胀率,US 10-Year Breakeven Inflation,calculated,UST10Y-UST_REAL10Y,Calculated from US Treasury nominal and real yields,https://home.treasury.gov/resource-center/data-chart-center/interest-rates,daily,percent,bp,9,Nominal 10Y yield minus real 10Y yield on shared dates.,breakeven,breakeven-v1,UST10Y|UST_REAL10Y
fixed_income,inflation_expectations,US_5Y5Y,美国5年5年远期通胀率,US 5Y5Y Forward Inflation,calculated,US_BE5Y-US_BE10Y,Calculated from US Treasury breakeven inflation rates,https://home.treasury.gov/resource-center/data-chart-center/interest-rates,daily,percent,bp,10,Registered compounded forward-inflation formula on shared breakeven dates.,five_year_five_year,forward-inflation-v1,US_BE5Y|US_BE10Y
fixed_income,sovereign_curve,CGB2Y,中国国债2年期收益率,China Government Bond 2-Year Yield,china_bond,2Y,ChinaBond,https://yield.chinabond.com.cn/cbweb-mn/pgxh/historyQuery,daily,percent,bp,11,Official ChinaBond government-bond yield curve; annual request chunks under 365 days.,,,
fixed_income,sovereign_curve,CGB5Y,中国国债5年期收益率,China Government Bond 5-Year Yield,china_bond,5Y,ChinaBond,https://yield.chinabond.com.cn/cbweb-mn/pgxh/historyQuery,daily,percent,bp,12,Official ChinaBond government-bond yield curve; annual request chunks under 365 days.,,,
fixed_income,sovereign_curve,CGB10Y,中国国债10年期收益率,China Government Bond 10-Year Yield,china_bond,10Y,ChinaBond,https://yield.chinabond.com.cn/cbweb-mn/pgxh/historyQuery,daily,percent,bp,13,Official ChinaBond government-bond yield curve; annual request chunks under 365 days.,,,
fixed_income,sovereign_curve,CGB30Y,中国国债30年期收益率,China Government Bond 30-Year Yield,china_bond,30Y,ChinaBond,https://yield.chinabond.com.cn/cbweb-mn/pgxh/historyQuery,daily,percent,bp,14,Official ChinaBond government-bond yield curve; annual request chunks under 365 days.,,,
fixed_income,policy_money_market,LPR1Y,中国1年期贷款市场报价利率,China 1-Year Loan Prime Rate,pboc_lpr,1Y,China Foreign Exchange Trade System (ChinaMoney),https://www.chinamoney.com.cn/dqs/rest/cm-u-bk-currency/LprHisExcel,monthly,percent,bp,15,Official ChinaMoney workbook column 1Y; monthly fixing carried forward between publication dates.,,,
fixed_income,policy_money_market,LPR5Y,中国5年期以上贷款市场报价利率,China Over-5-Year Loan Prime Rate,pboc_lpr,5Y+,China Foreign Exchange Trade System (ChinaMoney),https://www.chinamoney.com.cn/dqs/rest/cm-u-bk-currency/LprHisExcel,monthly,percent,bp,16,Official workbook labels this over-five-year benchmark as 5Y; monthly fixing carried forward.,,,
fixed_income,policy_money_market,HIBOR1M,香港银行同业拆息1个月,Hong Kong Interbank Offered Rate 1 Month,hkab_hibor,1M,Hong Kong Association of Banks,https://www.hkab.org.hk/en/rates/hibor,daily,percent,bp,17,Official HKAB HIBOR fixing.,,,
fixed_income,policy_money_market,HIBOR3M,香港银行同业拆息3个月,Hong Kong Interbank Offered Rate 3 Months,hkab_hibor,3M,Hong Kong Association of Banks,https://www.hkab.org.hk/en/rates/hibor,daily,percent,bp,18,Official HKAB HIBOR fixing.,,,
fixed_income,credit_spreads,USIG_OAS,美国投资级公司债期权调整利差,US Investment-Grade Corporate OAS,fred,BAMLC0A0CM,ICE BofA via FRED,https://fred.stlouisfed.org/series/BAMLC0A0CM,daily,percent,bp,19,ICE BofA US Corporate Index option-adjusted spread.,,,
fixed_income,credit_spreads,USHY_OAS,美国高收益公司债期权调整利差,US High-Yield Corporate OAS,fred,BAMLH0A0HYM2,ICE BofA via FRED,https://fred.stlouisfed.org/series/BAMLH0A0HYM2,daily,percent,bp,20,ICE BofA US High Yield Index option-adjusted spread.,,,
commodity,commodities,WTI,WTI原油,WTI Crude Oil Continuous Proxy,yahoo_chart,CL=F,Yahoo Finance chart API (public vendor proxy),https://query2.finance.yahoo.com/v8/finance/chart/CL%3DF,daily,usd_per_barrel,pct,21,Continuous/nearby futures close proxy; not an official exchange settlement series; vendor roll rule is undocumented and may create roll discontinuities.,,,
commodity,commodities,BRENT,布伦特原油,Brent Crude Oil Continuous Proxy,yahoo_chart,BZ=F,Yahoo Finance chart API (public vendor proxy),https://query2.finance.yahoo.com/v8/finance/chart/BZ%3DF,daily,usd_per_barrel,pct,22,Continuous/nearby futures close proxy; not an official exchange settlement series; vendor roll rule is undocumented and may create roll discontinuities.,,,
commodity,commodities,COMEX_GOLD,COMEX黄金,COMEX Gold Continuous Proxy,yahoo_chart,GC=F,Yahoo Finance chart API (public vendor proxy),https://query2.finance.yahoo.com/v8/finance/chart/GC%3DF,daily,usd_per_troy_ounce,pct,23,Continuous/nearby futures close proxy; not an official exchange settlement series; vendor roll rule is undocumented and may create roll discontinuities.,,,
policy_rate,policy_rates,FED_TARGET_LOWER,美联储联邦基金目标下限,Federal Funds Target Lower Bound,fred,DFEDTARL,Federal Reserve Board via FRED,https://fred.stlouisfed.org/series/DFEDTARL,daily,percent,bp,24,Administered lower bound of the federal funds target range.,,,
policy_rate,policy_rates,FED_TARGET_UPPER,美联储联邦基金目标上限,Federal Funds Target Upper Bound,fred,DFEDTARU,Federal Reserve Board via FRED,https://fred.stlouisfed.org/series/DFEDTARU,daily,percent,bp,25,Administered upper bound of the federal funds target range.,,,
policy_rate,policy_rates,FED_IORB,美联储准备金余额利率,Federal Reserve IORB Rate,fred,IORB,Federal Reserve Board via FRED,https://fred.stlouisfed.org/series/IORB,daily,percent,bp,26,Interest rate on reserve balances.,,,
policy_rate,policy_rates,FED_ON_RRP,美联储隔夜逆回购工具报价利率,Federal Reserve ON RRP Offering Rate,fred,RRPONTSYAWARD,Federal Reserve Bank of New York via FRED,https://fred.stlouisfed.org/series/RRPONTSYAWARD,daily,percent,bp,27,ON RRP award rate; not facility take-up.,,,
policy_rate,policy_rates,ECB_DFR,欧洲央行存款机制利率,ECB Deposit Facility Rate,ecb,FM.D.U2.EUR.4F.KR.DFR.LEV,European Central Bank,https://data-api.ecb.europa.eu/service/data/FM/D.U2.EUR.4F.KR.DFR.LEV,daily,percent,bp,28,Official ECB Data API policy-rate series.,,,
policy_rate,policy_rates,ECB_MRO,欧洲央行主要再融资操作利率,ECB Main Refinancing Operations Rate,ecb,FM.D.U2.EUR.4F.KR.MRR_FR.LEV,European Central Bank,https://data-api.ecb.europa.eu/service/data/FM/D.U2.EUR.4F.KR.MRR_FR.LEV,daily,percent,bp,29,Fixed-rate tender MRO level.,,,
policy_rate,policy_rates,ECB_MLF,欧洲央行边际贷款机制利率,ECB Marginal Lending Facility Rate,ecb,FM.D.U2.EUR.4F.KR.MLFR.LEV,European Central Bank,https://data-api.ecb.europa.eu/service/data/FM/D.U2.EUR.4F.KR.MLFR.LEV,daily,percent,bp,30,ECB marginal lending facility; unrelated to China's discontinued MLF.,,,
policy_rate,policy_rates,BOE_BANK_RATE,英格兰银行基准利率,Bank of England Bank Rate,boe_iadb,IUDBEDR,Bank of England,https://www.bankofengland.co.uk/boeapps/database/,daily,percent,bp,31,Official Bank Rate from the IADB CSV endpoint.,,,
policy_rate,policy_rates,BOJ_CALL_TARGET,日本银行无担保隔夜拆借利率目标,Bank of Japan Uncollateralized Overnight Call-Rate Target,boj_policy,UNCOLLATERALIZED_ON_TARGET,Bank of Japan,https://www.boj.or.jp/en/mopo/mpmdeci/index.htm,event,percent,bp,32,Policy-guideline target curated from official monetary-policy decisions; not inferred from TONA.,,,
policy_rate,policy_rates,HKMA_BASE_RATE,香港金管局基本利率,HKMA Base Rate,hkma,disc_win_base_rate,Hong Kong Monetary Authority,https://api.hkma.gov.hk/public/market-data-and-statistics/daily-monetary-statistics/daily-figures-interbank-liquidity,daily,percent,bp,33,Discount Window Base Rate from official daily JSON.,,,
policy_rate,policy_rates,BOC_OVERNIGHT_TARGET,加拿大银行隔夜利率目标,Bank of Canada Overnight-Rate Target,boc_valet,V39079,Bank of Canada,https://www.bankofcanada.ca/valet/observations/V39079/json,daily,percent,bp,34,Official Valet administered-rate series.,,,
policy_rate,policy_rates,SNB_POLICY_RATE,瑞士国家银行政策利率,SNB Policy Rate,snb_cube,snboffzisa:D0=LZ,Swiss National Bank,https://data.snb.ch/api/cube/snboffzisa/data/csv/en,monthly,percent,bp,35,Official month-end policy-rate cube; exact decision timing requires releases.,,,
money_market,money_market,US_EFFR,美国有效联邦基金利率,Effective Federal Funds Rate,nyfed_rates,EFFR,Federal Reserve Bank of New York,https://markets.newyorkfed.org/api/rates/unsecured/effr/search.json,daily,percent,bp,36,Transaction-based unsecured overnight benchmark.,,,
money_market,money_market,US_SOFR,美国担保隔夜融资利率,Secured Overnight Financing Rate,nyfed_rates,SOFR,Federal Reserve Bank of New York,https://markets.newyorkfed.org/api/rates/secured/sofr/search.json,daily,percent,bp,37,Official secured overnight reference rate.,,,
money_market,money_market,EUR_ESTR,欧元短期利率,Euro Short-Term Rate (€STR),ecb,EST.B.EU000A2X2A25.WT,European Central Bank,https://data-api.ecb.europa.eu/service/data/EST/B.EU000A2X2A25.WT,daily,percent,bp,38,Official volume-weighted trimmed-mean overnight rate.,,,
money_market,money_market,GBP_SONIA,英镑隔夜平均利率,SONIA,boe_iadb,IUDSOIA,Bank of England,https://www.bankofengland.co.uk/boeapps/database/,daily,percent,bp,39,Official sterling overnight index average.,,,
money_market,money_market,JPY_TONA,日元无担保隔夜拆借利率,TONA,boj_api,FM01:STRDCLUCON,Bank of Japan,https://www.stat-search.boj.or.jp/api/v1/getDataCode,daily,percent,bp,40,Daily average; non-null official observations only.,,,
money_market,money_market,CNY_FDR007,中国FDR007定盘利率,FDR007 Fixing,chinamoney_frr,FDR007,China Foreign Exchange Trade System (ChinaMoney),https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis,daily,percent,bp,41,11:30 fixing based on morning transactions; explicitly not full-day DR007.,,,
money_market,money_market,CAD_CORRA,加元隔夜回购利率,CORRA,boc_valet,AVG.INTWO,Bank of Canada,https://www.bankofcanada.ca/valet/observations/AVG.INTWO/json,daily,percent,bp,42,Official Canadian Overnight Repo Rate Average.,,,
foreign_exchange,foreign_exchange,DXY,美元指数,US Dollar Index Vendor Proxy,yahoo_chart,DX-Y.NYB,Yahoo Finance chart API (public vendor proxy),https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB,daily,index,pct,43,Public vendor-proxy close for the US Dollar Index; not an official ICE settlement series and vendor methodology may differ.,,,
foreign_exchange,foreign_exchange,USD_CNY,美元兑在岸人民币,USD/CNY Vendor Proxy,yahoo_chart,CNY=X,Yahoo Finance chart API (public vendor proxy),https://query2.finance.yahoo.com/v8/finance/chart/CNY%3DX,daily,cny_per_usd,pct,44,Public vendor-proxy close quoted as CNY per USD to retain report direction; not an official fixing or executable rate.,,,
